pais	cod_direccion	uso	inicio_obras	fin_obras	plantas	altura_planta_cm	aforo_planta	metros_planta	altura_total_cm	material	extintores	cod_arquitec	cod_constructora	precio
España	A00560	público	09/10/2013	25/05/2015	5	318	90	565	1616	cristal	67	0012	AAA0	5751000
España	A00561	público	15/03/2005	14/08/2007	22	291	284	285	6687	cemento	116	0277	CCC0	6317000
España	A00562	privado	31/01/1997	20/05/1999	53	254	36	295	13952	cemento	149	0277	BBB0	8143000
España	A00563	privado	24/01/1997	22/12/1998	4	442	66	460	1792	hormigón	114	0277	CCC0	7885000
España	A00564	público	30/04/1993	04/10/1994	21	444	70	370	9502	cemento	17	0277	BBB0	4338000
España	A00565	público	10/03/1992	08/08/1994	13	399	175	650	5558	resina	109	0235	BBB0	723000
España	A00566	público	31/01/2006	19/08/2008	22	441	195	115	9985	resina	163	0235	AAA0	3514000
España	A00567	privado	21/10/2016	02/07/2017	19	322	82	185	6444	cemento	163	0235	AAA0	6152000
España	A00568	privado	20/06/2012	16/03/2013	13	278	269	325	3971	cemento	51	0012	AAA0	5782000
España	A00569	público	08/12/2015	14/06/2018	50	353	215	570	17814	cemento	165	0012	AAA0	695000
España	A005610	público	01/04/2001	07/08/2003	23	347	215	430	8110	cristal	6	0012	AAA0	1583000
España	A005611	público	28/11/2015	13/06/2016	6	282	298	160	2066	cemento	106	0277	AAA0	772000
España	A005612	privado	15/03/2011	16/06/2012	24	291	275	360	7308	resina	64	0012	AAA0	7251000
España	A005613	privado	07/02/1993	11/10/1993	11	361	284	340	4455	cristal	169	0012	AAA0	7384000
España	MK14	privado	19/08/2015	10/04/2016	10	358	91	100	3642	cemento	158	0012	BBB0	8868000
España	MK15	público	22/06/2013	10/12/2014	10	299	187	460	3166	cemento	94	0012	BBB0	800000
España	MK16	público	07/03/2012	02/10/2013	19	375	216	590	7204	cristal	47	1888	BBB0	5789000
España	MK17	público	23/01/2011	02/11/2011	14	318	261	485	4601	cemento	52	0012	DDD0	7906000
España	MK18	público	15/03/2000	25/07/2001	17	308	198	405	5629	hormigón	151	0012	CCC0	5022000
España	MK19	privado	11/02/2016	21/08/2016	25	271	329	260	7183	resina	27	1004	CCC0	5859000
España	MK20	público	19/04/2011	16/10/2012	40	322	278	340	13236	resina	94	0550	CCC0	450000
España	MK21	privado	19/10/1999	19/02/2002	2	396	331	365	807	hormigón	68	0550	CCC0	658000
España	MK22	público	03/11/1993	13/12/1995	6	337	190	395	2274	resina	44	0550	CCC0	1330000
