especie	poblacion	provincia	orden_reg	año_plant	pulgon	cochinilla	altura_cm	estado	riego	rec_periodicidad_poda	ultima_poda
PINO CARRASCO	MIERES	ASTURIAS	1	2012	SI	SI	592	SANO	GOTEO	6 MESES	ABRIL
PINO CARRASCO	MIERES	ASTURIAS	2	2012	NO	SI	489	ENFERMO	ASPERSOR	12 MESES	MAYO
PINO CARRASCO	MIERES	ASTURIAS	3	2014	NO	SI	1475	SANO	NULL	12 MESES	ENERO
PINO CARRASCO	MIERES	ASTURIAS	4	2003	NO	SI	870	SANO	ASPERSOR	6 MESES	ABRIL
PINO CARRASCO	MIERES	ASTURIAS	5	2014	NO	SI	659	ENFERMO	NULL	6 MESES	ABRIL
PINO CARRASCO	MIERES	ASTURIAS	6	2005	SI	NO	1245	SANO	ASPERSOR	6 MESES	ABRIL
PINO CARRASCO	MIERES	ASTURIAS	7	2003	SI	NO	894	ENFERMO	GOTEO	6 MESES	ABRIL
PINO CARRASCO	MIERES	ASTURIAS	8	2001	SI	NO	1134	SANO	GOTEO	6 MESES	ENERO
PINO CARRASCO	MIERES	ASTURIAS	9	2007	SI	NO	665	SANO	GOTEO	6 MESES	MAYO
ROBLE CONTINENTAL	TOLEDO	TOLEDO	1	2011	SI	NO	775	SANO	GOTEO	12 MESES	FEBRERO
HAYA	BARCELONA	BARCELONA	1	2014	SI	NO	1493	SANO	GOTEO	12 MESES	ABRIL
HAYA	BARCELONA	BARCELONA	2	2012	NO	NO	943	SANO	GOTEO	12 MESES	ABRIL
CASTAÑO	AZUCAICA	TOLEDO	1	2000	NO	SI	496	SANO	GOTEO	NO PODA	NO REGISTRADA
CASTAÑO	VILADECANS	BARCELONA	1	1998	NO	NO	341	ENFERMO	ASPERSOR	NO PODA	NO REGISTRADA
ENCINA	COSLADA	MADRID	1	2011	NO	NO	646	SANO	NULL	NO PODA	FEBRERO
ENCINA	COSLADA	MADRID	2	2004	NO	NO	1305	SANO	ASPERSOR	6 MESES	NO REGISTRADA
ENCINA	COSLADA	MADRID	3	2010	NO	NO	211	ENFERMO	ASPERSOR	12 MESES	FEBRERO
PINO ALBAR	LEGANÉS	MADRID	1	1998	NO	SI	569	ENFERMO	ASPERSOR	NO PODA	NO REGISTRADA
EUCALIPTO	TOLEDO	TOLEDO	2	1998	NO	SI	536	ENFERMO	NULL	NO PODA	NO REGISTRADA
EUCALIPTO	TOLEDO	TOLEDO	3	2008	NO	SI	439	SANO	NULL	12 MESES	FEBRERO
ROBLE MEDITERRÁNEO	ARGAME	ASTURIAS	1	2011	NO	SI	605	ENFERMO	ASPERSOR	12 MESES	NO REGISTRADA
HAYA	MIERES	ASTURIAS	1	1999	NO	NO	495	ENFERMO	NULL	NO PODA	MAYO
EUCALIPTO	TOLEDO	TOLEDO	1	2006	NO	NO	1491	ENFERMO	GOTEO	NO PODA	NO REGISTRADA
CASTAÑO	AZUCAICA	TOLEDO	2	2005	NO	NO	67	ENFERMO	NULL	12 MESES	NO REGISTRADA
SABINA	BARCELONA	BARCELONA	1	2000	NO	NO	948	ENFERMO	GOTEO	NO PODA	NO REGISTRADA
ALCORNOQUE	VILASAR DE MAR	BARCELONA	1	2014	NO	NO	646	ENFERMO	NULL	6 MESES	ABRIL
ENCINA	MADRID	MADRID	1	2009	NO	NO	1418	ENFERMO	NULL	NO PODA	ABRIL
ENCINA	MADRID	MADRID	2	2011	NO	NO	1026	SANO	NULL	NO PODA	ABRIL
ENCINA	MADRID	MADRID	3	2014	NO	NO	368	ENFERMO	ASPERSOR	NO PODA	ABRIL
ENCINA	MADRID	MADRID	4	2015	NO	NO	972	ENFERMO	NULL	12 MESES	ABRIL
